Data;21086 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Total - %;21088 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Desconto de cheques - %;21090 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro com prazo de até 365 dias - %;21091 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro com prazo superior a 365 dias - %;21092 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro rotativo - %;21093 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro total - %;21094 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Conta garantida - %;21095 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Cheque especial - %;21106 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito total - %;21111 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Outros créditos livres - %
05/2024;3,18 ;2,77 ;1,85 ;4,91 ;3,61 ;4,58 ;2,44 ;14,28 ;6,76 ;6,00
06/2024;3,08 ;2,89 ;1,81 ;4,94 ;3,82 ;4,59 ;2,48 ;15,94 ;6,51 ;5,60
07/2024;2,92 ;3,00 ;2,23 ;5,01 ;3,97 ;4,69 ;2,68 ;16,28 ;6,63 ;5,60
08/2024;2,95 ;3,03 ;2,24 ;5,16 ;4,15 ;4,81 ;2,65 ;15,96 ;6,07 ;5,80
09/2024;2,93 ;2,96 ;1,96 ;5,09 ;4,48 ;4,72 ;2,78 ;15,73 ;5,79 ;6,05
10/2024;2,87 ;2,87 ;1,86 ;5,12 ;4,55 ;4,70 ;2,88 ;15,88 ;6,06 ;5,46
11/2024;2,81 ;2,63 ;1,75 ;5,09 ;4,95 ;4,65 ;2,61 ;14,27 ;5,92 ;5,54
12/2024;2,51 ;2,56 ;1,48 ;4,26 ;4,89 ;3,87 ;2,53 ;16,37 ;5,66 ;5,24
01/2025;2,83 ;2,69 ;1,64 ;4,65 ;5,10 ;4,23 ;2,69 ;16,06 ;5,98 ;5,63
02/2025;2,93 ;2,83 ;1,59 ;4,89 ;5,50 ;4,41 ;2,82 ;15,78 ;6,07 ;6,02
03/2025;2,85 ;3,04 ;1,58 ;4,50 ;5,93 ;4,08 ;2,70 ;14,96 ;5,56 ;6,18
04/2025;3,10 ;3,36 ;2,06 ;4,75 ;6,79 ;4,40 ;2,80 ;16,09 ;6,19 ;6,63
05/2025;3,07 ;3,30 ;2,10 ;4,39 ;7,06 ;4,15 ;3,01 ;17,51 ;6,40 ;6,89
06/2025;3,10 ;3,31 ;2,07 ;4,49 ;7,50 ;4,23 ;3,16 ;17,74 ;6,21 ;6,71
07/2025;3,29 ;3,49 ;2,37 ;4,47 ;8,64 ;4,30 ;3,37 ;20,14 ;6,88 ;7,52
08/2025;3,34 ;3,51 ;2,38 ;4,48 ;9,30 ;4,31 ;3,61 ;20,43 ;7,14 ;7,61
09/2025;3,26 ;3,33 ;2,30 ;4,25 ;8,08 ;4,05 ;3,71 ;19,12 ;8,27 ;6,88
10/2025;3,32 ;3,48 ;2,58 ;4,43 ;8,75 ;4,28 ;4,08 ;20,45 ;7,64 ;7,18
11/2025;3,18 ;3,43 ;2,40 ;4,18 ;7,73 ;4,00 ;3,80 ;20,03 ;7,59 ;6,96
12/2025;3,11 ;3,55 ;2,40 ;4,08 ;7,12 ;3,90 ;4,03 ;22,69 ;7,42 ;6,84
01/2026;3,36 ;3,66 ;2,59 ;4,20 ;7,72 ;4,05 ;3,97 ;19,67 ;8,25 ;7,38
02/2026;3,59 ;3,77 ;2,56 ;4,27 ;8,44 ;4,12 ;3,86 ;19,62 ;8,37 ;8,40
03/2026;3,50 ;3,93 ;2,45 ;4,55 ;8,59 ;4,30 ;4,09 ;20,21 ;7,39 ;7,05
04/2026;3,57 ;4,13 ;2,63 ;4,71 ;9,90 ;4,51 ;4,27 ;20,06 ;8,05 ;6,60
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
